Time,Value
1307,268
1308,267
1309,267
1310,268
1311,267
1312,268
1313,267
1314,267
1315,267
1316,267
1317,268
1318,268
1319,267
1320,267
1321,268
1322,267
1323,268
1324,267
1325,267
1326,267
1327,267
1328,267
1329,267
1330,267
1331,267
1332,267
1333,267
1334,267
1335,268
1336,268
1337,267
1338,267
1339,268
1340,267
1341,268
1342,267
1343,268
1344,267
1345,267
1346,267
1347,268
1348,267
1349,267
1350,268
1351,267
1352,267
1353,267
1354,267
1355,268
1356,267
1357,268
1358,268
1359,267
1360,268
1361,267
1362,267
1363,267
1364,267
1365,267
1366,267
1367,267
1368,267
1369,267
1370,267
1371,268
1372,267
1373,267
1374,267
1375,267
1376,267
1377,267
1378,268
1379,268
1380,268
1381,268
1382,267
1383,268
1384,268
1385,267
1386,268
1387,268
1388,268
1389,267
1390,267
1391,267
1392,268
1393,267
1394,268
1395,267
1396,268
1397,267
1398,268
1399,268
1400,268
1401,268
1402,267
1403,268
1404,267
1405,268
1406,267
1407,268
1408,267
1409,267
1410,268
1411,267
1412,267
1413,267
1414,267
1415,268
1416,267
1417,267
1418,268
1419,267
1420,268
1421,267
1422,267
1423,268
1424,268
1425,267
1426,267
1427,268
1428,267
1429,267
1430,267
1431,268
1432,267
1433,267
1434,267
1435,268
1436,268
1437,267
1438,267
1439,267
1440,267
1441,268
1442,267
1443,267
1444,267
1445,267
1446,267
1447,268
1448,267
1449,267
1450,267
1451,268
1452,267
1453,267
1454,268
1455,267
1456,267
1457,268
1458,268
1459,267
1460,267
1461,268
1462,267
1463,268
1464,267
1465,267
1466,267
1467,267
1468,267
1469,268
1470,267
1471,267
1472,267
1473,267
1474,268
1475,268
1476,267
1477,267
1478,268
1479,267
1480,267
1481,267
1482,268
1483,268
1484,267
1485,267
1486,268
1487,267
1488,267
1489,267
1490,268
1491,268
1492,268
1493,267
1494,267
1495,268
1496,267
1497,268
1498,268
1499,267
1500,267
1501,267
1502,267
1503,267
1504,267
1505,267
1506,267
1507,268
1508,267
1509,267
1510,267
1511,267
1512,267
1513,267
1514,267
1515,267
1516,267
1517,268
1518,268
1519,268
1520,267
1521,267
1522,267
1523,268
1524,268
1525,268
1526,267
1527,267
1528,267
1529,267
1530,267
1531,268
1532,268
1533,267
1534,267
1535,268
1536,267
1537,267
1538,267
1539,267
1540,268
1541,267
1542,267
1543,268
1544,268
1545,267
1546,268
1547,268
1548,267
1549,267
1550,268
1551,267
1552,267
1553,267
1554,267
1555,268
1556,268
1557,268
1558,267
1559,267
1560,267
1561,267
1562,267
1563,268
1564,267
1565,268
1566,268
1567,267
1568,267
1569,267
1570,267
1571,268
1572,267
1573,267
1574,267
1575,268
1576,267
1577,267
1578,267
1579,267
1580,267
1581,267
1582,268
1583,268
1584,268
1585,267
1586,268
1587,268
1588,268
1589,267
1590,268
1591,267
1592,267
1593,268
1594,267
1595,267
1596,267
1597,268
1598,267
1599,267
1600,268
1601,267
1602,267
1603,268
1604,267
1605,268
1606,268
1607,267
1608,267
1609,268
1610,267
1611,268
1612,268
1613,268
1614,268
1615,267
1616,267
1617,267
1618,267
1619,267
1620,267
1621,267
1622,267
1623,268
1624,267
1625,268
1626,268
1627,268
1628,267
1629,267
1630,267
1631,268
1632,267
1633,267
1634,267
1635,267
1636,267
1637,268
1638,268
1639,267
1640,267
1641,267
1642,267
1643,267
1644,268
1645,267
1646,267
1647,267
1648,267
1649,267
1650,267
1651,268
1652,267
1653,267
1654,268
1655,268
1656,267
1657,267
1658,268
1659,267
1660,267
1661,267
1662,267
1663,267
1664,267
1665,268
1666,267
1667,268
1668,267
1669,268
1670,268
1671,267
1672,267
1673,267
1674,268
1675,267
1676,267
1677,267
1678,267
1679,267
1680,267
1681,267
1682,267
1683,267
1684,267
1685,268
1686,267
1687,268
1688,267
1689,267
1690,267
1691,267
1692,267
1693,267
1694,268
1695,268
1696,267
1697,267
1698,267
1699,267
1700,268
1701,268
1702,267
1703,268
1704,268
1705,268
1706,267
1707,267
1708,267
1709,267
1710,267
1711,267
1712,267
1713,267
1714,267
1715,268
1716,268
1717,267
1718,267
1719,267
1720,267
1721,267
1722,267
1723,267
1724,267
1725,268
1726,267
1727,267
1728,268
1729,267
1730,267
1731,268
1732,267
1733,267
1734,268
1735,267
1736,267
1737,267
1738,267
1739,267
1740,267
1741,267
1742,267
1743,268
1744,267
1745,267
1746,267
1747,267
1748,268
1749,267
1750,267
1751,268
1752,267
1753,267
1754,267
1755,267
1756,267
1757,268
1758,268
1759,267
1760,267
1761,267
1762,268
1763,268
1764,268
1765,268
1766,267
1767,267
1768,267
1769,267
1770,267
1771,267
1772,268
1773,267
1774,267
1775,267
1776,267
1777,267
1778,267
1779,268
1780,267
1781,268
1782,267
1783,267
1784,268
1785,267
1786,267
1787,267
1788,268
1789,267
1790,268
1791,267
1792,268
1793,268
1794,267
1795,268
1796,267
1797,268
1798,267
1799,268
1800,267
1801,267
1802,268
1803,267
1804,268
1805,268
1806,267
1807,267
1808,267
1809,267
1810,268
1811,268
1812,267
1813,267
1814,267
1815,267
1816,267
1817,267
1818,268
1819,267
1820,267
1821,268
1822,267
1823,267
1824,267
1825,267
1826,267
1827,267
1828,267
1829,267
1830,268
1831,267
1832,268
1833,267
1834,267
1835,268
1836,267
1837,267
1838,268
1839,267
1840,267
1841,268
1842,267
1843,268
1844,268
1845,267
1846,267
1847,268
1848,267
1849,267
1850,267
1851,267
1852,267
1853,267
1854,268
1855,268
1856,267
1857,267
1858,267
1859,268
1860,267
1861,267
1862,267
1863,267
1864,267
1865,267
1866,267
1867,267
1868,267
1869,268
1870,268
1871,267
1872,267
1873,267
1874,268
1875,268
1876,267
1877,267
1878,267
1879,267
1880,267
1881,267
1882,267
1883,268
1884,267
1885,268
1886,267
1887,267
1888,267
1889,267
1890,267
1891,267
1892,268
1893,267
1894,267
1895,268
1896,267
1897,267
1898,267
1899,267
1900,267
1901,267
1902,267
1903,267
1904,267
1905,267
1906,268
1907,267
1908,267
1909,267
1910,267
1911,267
1912,267
1913,267
1914,267
1915,267
1916,267
1917,267
1918,267
1919,268
1920,268
1921,268
1922,267
1923,267
1924,267
1925,268
1926,267
1927,267
1928,267
1929,267
1930,268
1931,267
1932,268
1933,267
1934,267
1935,268
1936,267
1937,267
1938,267
1939,267
1940,267
1941,267
1942,268
1943,267
1944,267
1945,267
1946,268
1947,267
1948,267
1949,267
1950,268
1951,268
1952,268
1953,267
1954,267
1955,268
1956,267
1957,267
1958,267
1959,267
1960,268
1961,267
1962,267
1963,267
1964,268
1965,268
1966,267
1967,267
1968,267
1969,268
1970,268
1971,267
1972,268
1973,267
1974,267
1975,268
1976,268
1977,267
1978,267
1979,267
1980,268
1981,267
1982,267
1983,267
1984,267
1985,268
1986,268
1987,268
1988,268
1989,268
1990,268
1991,267
1992,267
1993,267
1994,268
1995,267
1996,268
1997,268
1998,267
1999,267
2000,268
2001,267
2002,267
2003,268
2004,268
2005,268
2006,267
2007,267
2008,267
2009,268
2010,268
2011,267
2012,268
2013,267
2014,267
2015,267
2016,267
2017,267
2018,267
2019,267
2020,267
2021,268
2022,267
2023,268
2024,268
2025,267
2026,267
2027,267
2028,267
2029,267
2030,267
2031,268
2032,267
2033,267
2034,267
2035,267
2036,267
2037,267
2038,267
2039,267
2040,268
2041,268
2042,267
2043,268
2044,267
2045,268
2046,267
2047,267
2048,267
2049,267
2050,268
2051,268
2052,267
2053,267
2054,267
2055,268
2056,267
2057,267
2058,267
2059,267
2060,267
2061,268
2062,267
2063,268
2064,268
2065,267
2066,267
2067,268
2068,267
2069,267
2070,267
2071,267
2072,268
2073,267
2074,268
2075,268
2076,267
2077,267
2078,268
2079,267
2080,267
2081,268
2082,267
2083,268
2084,267
2085,268
2086,267
2087,267
2088,268
2089,267
2090,267
2091,267
2092,267
2093,268
2094,267
2095,267
2096,267
2097,267
2098,267
2099,267
2100,267
2101,267
2102,267
2103,267
2104,268
2105,267
2106,267
2107,267
2108,267
2109,268
2110,267
2111,267
2112,267
2113,267
2114,267
2115,268
2116,267
2117,267
2118,267
2119,268
2120,267
2121,268
2122,267
2123,268
2124,268
2125,267
2126,268
2127,267
2128,268
2129,267
2130,267
2131,267
2132,267
2133,267
2134,267
2135,267
2136,268
2137,267
2138,267
2139,267
2140,267
2141,268
2142,267
2143,267
2144,268
2145,267
2146,267
2147,267
2148,267
2149,267
2150,268
2151,267
2152,267
2153,267
2154,268
2155,268
2156,267
2157,268
2158,267
2159,267
2160,268
2161,268
2162,267
2163,268
2164,268
2165,267
2166,268
2167,267
2168,267
2169,268
2170,267
2171,268
2172,267
2173,267
2174,268
2175,268
2176,268
2177,267
2178,267
2179,268
2180,267
2181,267
2182,267
2183,267
2184,268
2185,267
2186,267
2187,267
2188,267
2189,268
2190,268
2191,267
2192,268
2193,267
2194,268
2195,268
2196,268
2197,267
2198,268
2199,267
2200,268
2201,267
2202,268
2203,267
2204,268
2205,267
2206,267
2207,268
2208,267
2209,268
2210,268
2211,268
2212,267
2213,267
2214,267
2215,268
2216,268
2217,268
2218,267
2219,267
2220,268
2221,267
2222,267
2223,268
2224,267
2225,267
2226,268
2227,268
2228,267
2229,267
2230,268
2231,268
2232,267
2233,267
2234,267
2235,267
2236,267
2237,267
2238,268
2239,267
2240,267
2241,268
2242,267
2243,268
2244,268
2245,267
2246,268
2247,267
2248,267
2249,267
2250,267
2251,267
2252,267
2253,267
2254,268
2255,267
2256,267
2257,268
2258,268
2259,267
2260,268
2261,268
2262,267
2263,267
2264,268
2265,267
2266,267
2267,267
2268,267
2269,268
2270,267
2271,267
2272,267
2273,267
2274,267
2275,267
2276,267
2277,267
2278,267
2279,267
2280,267
2281,267
2282,267
2283,267
2284,268
2285,268
2286,267
2287,267
2288,268
2289,267
2290,268
2291,268
2292,268
2293,267
2294,267
2295,268
2296,267
2297,268
2298,268
2299,267
2300,267
2301,267
2302,267
2303,268
2304,267
2305,267
2306,267
2307,267
2308,267
2309,267
2310,267
2311,267
2312,268
2313,267
2314,267
2315,267
2316,267
2317,268
2318,268
2319,268
2320,267
2321,267
2322,267
2323,268
2324,268
2325,268
2326,267
2327,268
2328,267
2329,267
2330,268
2331,268
2332,268
2333,267
2334,268
2335,267
2336,268
2337,268
2338,266
2339,267
2340,268
2341,267
2342,267
2343,267
2344,267
2345,267
2346,267
2347,268
2348,267
2349,267
2350,267
2351,268
2352,267
2353,267
2354,268
2355,267
2356,267
2357,268
2358,267
2359,267
2360,267
2361,268
2362,267
2363,268
2364,267
2365,268
2366,267
2367,268
2368,267
2369,267
2370,268
2371,268
2372,267
2373,267
2374,268
2375,268
2376,268
2377,267
2378,267
2379,268
2380,268
2381,267
2382,267
2383,267
2384,268
2385,267
2386,267
2387,268
2388,267
2389,268
2390,267
2391,268
2392,268
2393,267
2394,268
2395,267
2396,268
2397,268
2398,267
2399,267
2400,267
2401,267
2402,268
2403,267
2404,267
2405,267
2406,267
2407,268
2408,267
2409,267
2410,267
2411,268
2412,267
2413,267
2414,268
2415,268
2416,267
2417,268
2418,268
2419,267
2420,267
2421,268
2422,267
2423,267
2424,268
2425,267
2426,267
2427,268
2428,267
2429,267
2430,268
2431,268
2432,267
2433,268
2434,268
2435,267
2436,267
2437,267
2438,268
2439,267
2440,268
2441,267
2442,267
2443,267
2444,267
2445,268
2446,267
2447,267
2448,267
2449,267
2450,268
2451,268
2452,267
2453,267
2454,267
2455,267
2456,267
2457,267
2458,267
2459,267
2460,268
2461,268
2462,267
2463,268
2464,268
2465,267
2466,268
2467,267
2468,267
2469,267
2470,268
2471,267
2472,267
2473,267
2474,267
2475,267
2476,268
2477,267
2478,267
2479,268
2480,267
2481,267
2482,267
2483,267
2484,267
2485,268
2486,267
2487,267
2488,267
2489,267
2490,268
2491,267
2492,267
2493,267
2494,267
2495,268
2496,267
2497,268
2498,268
2499,267
2500,267
2501,267
2502,267
2503,267
2504,267
2505,267
2506,267
2507,267
2508,267
2509,267
2510,267
2511,267
2512,267
2513,267
2514,267
2515,267
2516,267
2517,268
2518,267
2519,267
2520,267
2521,267
2522,267
2523,267
2524,267
2525,267
2526,267
2527,267
2528,268
2529,267
2530,267
2531,267
2532,267
2533,267
2534,268
2535,267
2536,267
2537,267
2538,267
2539,267
2540,267
2541,268
2542,267
2543,268
2544,267
2545,267
2546,267
2547,267
2548,267
2549,267
2550,267
2551,268
2552,267
2553,267
2554,267
2555,268
2556,267
2557,268
2558,267
2559,267
2560,267
2561,268
2562,267
2563,267
2564,267
2565,267
2566,268
2567,267
2568,267
2569,267
2570,267
2571,268
2572,267
2573,268
2574,267
2575,267
2576,268
2577,268
2578,267
2579,268
2580,267
2581,267
2582,267
2583,267
2584,267
2585,267
2586,268
2587,268
2588,268
2589,267
2590,268
2591,267
2592,267
2593,268
2594,267
2595,267
2596,268
2597,267
2598,268
2599,267
2600,267
2601,268
2602,267
2603,267
2604,268
2605,268
2606,267
2607,267
2608,267
2609,268
2610,268
2611,267
2612,267
2613,267
2614,267
2615,268
2616,267
2617,267
2618,268
2619,267
2620,267
2621,267
2622,268
2623,267
2624,267
2625,267
2626,267
2627,268
2628,267
2629,267
2630,267
2631,268
2632,267
2633,267
2634,267
2635,268
2636,267
2637,268
2638,267
2639,267
2640,267
2641,268
2642,267
2643,267
2644,267
2645,268
2646,267
2647,267
2648,267
2649,267
2650,267
2651,267
2652,267
2653,267
2654,267
2655,268
2656,267
2657,268
2658,267
2659,267
2660,268
2661,267
2662,267
2663,267
2664,267
2665,268
2666,267
2667,267
2668,267
2669,268
2670,267
2671,267
2672,268
2673,267
2674,267
2675,268
2676,268
2677,267
2678,267
2679,267
2680,267
2681,267
2682,267
2683,267
2684,268
2685,267
2686,267
2687,267
2688,267
2689,267
2690,268
2691,267
2692,267
2693,267
2694,267
2695,268
2696,267
2697,268
2698,268
2699,267
2700,267
2701,268
2702,267
2703,267
2704,268
2705,267
2706,267
2707,267
2708,267
2709,267
2710,267
2711,268
2712,268
2713,267
2714,267
2715,267
2716,267
2717,268
2718,268
2719,268
2720,268
2721,268
2722,267
2723,268
2724,267
2725,268
2726,267
2727,268
2728,267
2729,267
2730,268
2731,267
2732,268
2733,267
2734,268
2735,268
2736,267
2737,267
2738,268
2739,267
2740,267
2741,267
2742,267
2743,267
2744,267
2745,267
2746,267
2747,267
2748,267
2749,267
2750,268
2751,267
2752,268
2753,267
2754,267
2755,268
2756,267
2757,267
2758,267
2759,268
2760,267
2761,268
2762,267
2763,267
2764,267
2765,267
2766,267
2767,268
2768,267
2769,267
2770,267
2771,268
2772,268
2773,267
2774,267
2775,267
2776,267
2777,268
2778,268
2779,268
2780,268
2781,268
2782,267
2783,267
2784,268
2785,268
2786,267
2787,268
2788,268
2789,268
2790,267
2791,267
2792,267
2793,267
2794,267
2795,268
2796,268
2797,267
2798,268
2799,267
