Time,Value
0,267
1,267
2,267
3,268
4,268
5,268
6,268
7,268
8,267
9,267
10,267
11,267
12,268
13,268
14,267
15,268
16,268
17,268
18,268
19,268
20,268
21,268
22,267
23,268
24,268
25,267
26,268
27,268
28,268
29,267
30,268
31,267
32,268
33,267
34,267
35,267
36,267
37,268
38,268
39,268
40,268
41,268
42,268
43,268
44,268
45,267
46,268
47,268
48,268
49,267
50,268
51,268
52,268
53,268
54,268
55,268
56,267
57,267
58,268
59,268
60,268
61,267
62,268
63,268
64,268
65,268
66,268
67,268
68,268
69,267
70,268
71,268
72,268
73,267
74,268
75,268
76,268
77,268
78,268
79,267
80,268
81,267
82,268
83,268
84,268
85,267
86,268
87,268
88,267
89,267
90,268
91,268
92,267
93,268
94,268
95,268
96,268
97,267
98,268
99,267
100,268
101,268
102,268
103,268
104,268
105,267
106,267
107,267
108,268
109,267
110,268
111,268
112,268
113,267
114,268
115,268
116,267
117,267
118,268
119,267
120,268
121,267
122,267
123,268
124,267
125,268
126,268
127,268
128,268
129,268
130,268
131,268
132,268
133,268
134,268
135,268
136,267
137,268
138,268
139,267
140,268
141,268
142,268
143,268
144,268
145,267
146,268
147,268
148,268
149,268
150,267
151,268
152,268
153,268
154,268
155,268
156,268
157,268
158,268
159,267
160,268
161,268
162,268
163,268
164,268
165,267
166,268
167,268
168,268
169,268
170,268
171,268
172,268
173,267
174,268
175,268
176,267
177,267
178,268
179,268
180,267
181,268
182,268
183,268
184,268
185,268
186,268
187,268
188,268
189,267
190,268
191,268
192,268
193,267
194,268
195,268
196,268
197,267
198,268
199,268
200,267
201,268
202,268
203,268
204,268
205,267
206,267
207,268
208,267
209,267
210,268
211,267
212,267
213,267
214,267
215,267
216,267
217,267
218,268
219,267
220,267
221,268
222,268
223,268
224,268
225,268
226,268
227,268
228,267
229,267
230,268
231,267
232,268
233,268
234,268
235,267
236,268
237,268
238,267
239,267
240,268
241,268
242,267
243,267
244,267
245,267
246,267
247,268
248,268
249,268
250,267
251,267
252,268
253,268
254,268
255,268
256,267
257,268
258,268
259,267
260,268
261,267
262,267
263,268
264,267
265,267
266,268
267,267
268,267
269,268
270,268
271,267
272,267
273,268
274,268
275,267
276,267
277,268
278,267
279,267
280,267
281,268
282,267
283,268
284,268
285,267
286,267
287,267
288,267
289,267
290,267
291,268
292,267
293,267
294,267
295,267
296,267
297,267
298,267
299,267
300,268
301,268
302,268
303,268
304,267
305,267
306,267
307,268
308,268
309,268
310,267
311,267
312,268
313,268
314,267
315,268
316,267
317,268
318,267
319,268
320,268
321,267
322,267
323,267
324,267
325,268
326,267
327,267
328,268
329,267
330,267
331,267
332,267
333,267
334,267
335,267
336,267
337,268
338,267
339,267
340,267
341,267
342,267
343,268
344,267
345,268
346,268
347,267
348,267
349,268
350,268
351,268
352,268
353,267
354,268
355,268
356,268
357,268
358,267
359,267
360,268
361,268
362,268
363,268
364,268
365,267
366,268
367,268
368,268
369,267
370,268
371,268
372,268
373,267
374,268
375,268
376,268
377,268
378,267
379,268
380,268
381,267
382,268
383,268
384,268
385,267
386,267
387,268
388,268
389,267
390,268
391,268
392,267
393,268
394,268
395,267
396,266
397,268
398,268
399,268
400,268
401,268
402,267
403,267
404,267
405,267
406,267
407,267
408,267
409,268
410,267
411,267
412,268
413,268
414,267
415,268
416,267
417,268
418,268
419,268
420,267
421,268
422,267
423,268
424,267
425,268
426,267
427,268
428,268
429,267
430,268
431,267
432,267
433,268
434,267
435,268
436,268
437,268
438,267
439,267
440,267
441,267
442,267
443,268
444,267
445,268
446,267
447,267
448,268
449,268
450,267
451,268
452,267
453,268
454,267
455,268
456,268
457,267
458,268
459,268
460,267
461,267
462,268
463,267
464,267
465,268
466,267
467,267
468,268
469,267
470,267
471,267
472,267
473,268
474,267
475,267
476,267
477,267
478,267
479,268
480,267
481,267
482,268
483,267
484,267
485,267
486,268
487,268
488,267
489,267
490,267
491,268
492,267
493,267
494,268
495,267
496,267
497,267
498,268
499,268
500,267
501,267
502,268
503,267
504,267
505,268
506,267
507,267
508,268
509,268
510,267
511,267
512,267
513,267
514,268
515,268
516,267
517,268
518,267
519,267
520,267
521,267
522,268
523,267
524,268
525,267
526,267
527,268
528,267
529,268
530,267
531,267
532,267
533,267
534,268
535,268
536,268
537,267
538,267
539,268
540,267
541,267
542,267
543,267
544,267
545,268
546,267
547,267
548,267
549,267
550,267
551,268
552,267
553,268
554,267
555,267
556,268
557,268
558,267
559,268
560,267
561,268
562,268
563,267
564,267
565,268
566,268
567,268
568,267
569,268
570,268
571,268
572,267
573,268
574,268
575,268
576,268
577,268
578,268
579,268
580,267
581,267
582,268
583,268
584,267
585,268
586,267
587,267
588,268
589,268
590,268
591,267
592,267
593,268
594,267
595,268
596,267
597,268
598,267
599,268
600,267
601,267
602,267
603,268
604,267
605,267
606,267
607,267
608,268
609,267
610,268
611,267
612,267
613,267
614,267
615,268
616,267
617,267
618,267
619,268
620,268
621,267
622,268
623,268
624,267
625,267
626,268
627,268
628,267
629,268
630,267
631,267
632,267
633,267
634,268
635,267
636,267
637,267
638,267
639,268
640,267
641,267
642,267
643,267
644,268
645,267
646,268
647,267
648,267
649,267
650,267
651,268
652,267
653,267
654,268
655,268
656,268
657,267
658,267
659,267
660,267
661,267
662,267
663,267
664,268
665,267
666,267
667,268
668,267
669,268
670,268
671,267
672,267
673,268
674,268
675,267
676,268
677,267
678,268
679,268
680,267
681,268
682,267
683,267
684,267
685,267
686,267
687,267
688,267
689,268
690,267
691,268
692,267
693,267
694,267
695,267
696,268
697,267
698,268
699,268
700,267
701,268
702,267
703,267
704,267
705,267
706,268
707,267
708,267
709,267
710,268
711,268
712,267
713,268
714,267
715,267
716,268
717,268
718,268
719,267
720,267
721,268
722,267
723,268
724,267
725,267
726,267
727,268
728,267
729,267
730,267
731,267
732,268
733,268
734,268
735,268
736,267
737,267
738,268
739,267
740,267
741,267
742,267
743,267
744,267
745,268
746,267
747,268
748,267
749,267
750,268
751,267
752,267
753,268
754,268
755,268
756,268
757,267
758,268
759,267
760,268
761,268
762,267
763,268
764,267
765,267
766,267
767,268
768,267
769,267
770,268
771,268
772,267
773,268
774,267
775,268
776,267
777,268
778,267
779,267
780,268
781,268
782,267
783,268
784,268
785,267
786,267
787,268
788,268
789,267
790,267
791,268
792,268
793,267
794,267
795,268
796,268
797,268
798,267
799,268
800,267
801,267
802,268
803,267
804,267
805,268
806,267
807,267
808,268
809,268
810,268
811,267
812,267
813,267
814,267
815,268
816,267
817,268
818,268
819,268
820,267
821,267
822,267
823,267
824,268
825,267
826,268
827,268
828,268
829,267
830,267
831,268
832,267
833,268
834,267
835,267
836,267
837,268
838,268
839,267
840,267
841,267
842,268
843,267
844,267
845,267
846,268
847,268
848,267
849,267
850,267
851,268
852,267
853,267
854,267
855,268
856,268
857,268
858,268
859,267
860,268
861,267
862,267
863,267
864,268
865,268
866,267
867,268
868,267
869,267
870,267
871,267
872,268
873,267
874,267
875,268
876,267
877,267
878,268
879,267
880,267
881,268
882,268
883,267
884,267
885,267
886,267
887,267
888,267
889,268
890,267
891,267
892,268
893,267
894,268
895,267
896,267
897,267
898,267
899,268
900,268
901,267
902,267
903,267
904,267
905,267
906,268
907,267
908,267
909,268
910,267
911,267
912,267
913,267
914,267
915,267
916,267
917,268
918,267
919,267
920,267
921,267
922,267
923,267
924,267
925,267
926,267
927,267
928,267
929,268
930,267
931,267
932,267
933,267
934,267
935,267
936,267
937,267
938,267
939,268
940,268
941,267
942,267
943,267
944,268
945,268
946,268
947,267
948,267
949,267
950,268
951,267
952,268
953,267
954,268
955,267
956,267
957,268
958,267
959,267
960,267
961,267
962,268
963,268
964,267
965,268
966,268
967,267
968,267
969,268
970,267
971,268
972,267
973,268
974,268
975,268
976,267
977,268
978,267
979,268
980,267
981,267
982,267
983,268
984,267
985,267
986,268
987,267
988,267
989,268
990,268
991,267
992,268
993,267
994,268
995,268
996,268
997,268
998,267
999,267
1000,267
1001,268
1002,267
1003,267
1004,267
1005,267
1006,267
1007,267
1008,267
1009,267
1010,267
1011,267
1012,268
1013,268
1014,268
1015,267
1016,267
1017,268
1018,267
1019,268
1020,268
1021,267
1022,267
1023,267
1024,267
1025,267
1026,267
1027,268
1028,268
1029,267
1030,267
1031,268
1032,267
1033,268
1034,268
1035,267
1036,267
1037,267
1038,268
1039,267
1040,267
1041,267
1042,267
1043,267
1044,268
1045,267
1046,268
1047,267
1048,267
1049,267
1050,268
1051,267
1052,268
1053,268
1054,267
1055,268
1056,268
1057,267
1058,267
1059,267
1060,268
1061,267
1062,268
1063,268
1064,267
1065,267
1066,267
1067,267
1068,267
1069,267
1070,267
1071,267
1072,267
1073,268
1074,267
1075,267
1076,267
1077,268
1078,267
1079,267
1080,268
1081,268
1082,267
1083,267
1084,267
1085,267
1086,267
1087,267
1088,267
1089,267
1090,267
1091,268
1092,267
1093,268
1094,267
1095,267
1096,267
1097,267
1098,267
1099,268
1100,267
1101,267
1102,267
1103,267
1104,267
1105,268
1106,267
1107,267
1108,267
1109,268
1110,268
1111,268
1112,267
1113,267
1114,268
1115,267
1116,268
1117,267
1118,267
1119,267
1120,267
1121,268
1122,267
1123,268
1124,267
1125,267
1126,267
1127,267
1128,267
1129,267
1130,267
1131,267
1132,268
1133,267
1134,267
1135,268
1136,268
1137,267
1138,267
1139,267
1140,268
1141,268
1142,268
1143,267
1144,267
1145,268
1146,267
1147,268
1148,268
1149,267
1150,267
1151,267
1152,267
1153,268
1154,267
1155,267
1156,267
1157,267
1158,267
1159,268
1160,268
1161,267
1162,268
1163,267
1164,267
1165,268
1166,268
1167,268
1168,267
1169,267
1170,267
1171,267
1172,267
1173,267
1174,267
1175,267
1176,266
1177,268
1178,268
1179,268
1180,267
1181,267
1182,268
1183,267
1184,267
1185,267
1186,268
1187,268
1188,267
1189,267
1190,268
1191,267
1192,268
1193,267
1194,267
1195,267
1196,268
1197,267
1198,268
1199,267
1200,267
1201,268
1202,268
1203,268
1204,267
1205,268
1206,267
1207,267
1208,268
1209,268
1210,267
1211,268
1212,268
1213,267
1214,267
1215,267
1216,267
1217,267
1218,267
1219,268
1220,267
1221,268
1222,267
1223,268
1224,268
1225,268
1226,267
1227,267
1228,267
1229,268
1230,267
1231,267
1232,267
1233,267
1234,267
1235,267
1236,267
1237,267
1238,267
1239,267
1240,267
1241,267
1242,267
1243,268
1244,267
1245,268
1246,267
1247,268
1248,267
1249,267
1250,268
1251,267
1252,267
1253,267
1254,267
1255,268
1256,267
1257,267
1258,267
1259,267
1260,267
1261,267
1262,267
1263,268
1264,268
1265,267
1266,268
1267,267
1268,267
1269,267
1270,267
1271,267
1272,267
1273,268
1274,267
1275,268
1276,267
1277,267
1278,267
1279,267
1280,267
1281,268
1282,267
1283,268
1284,267
1285,268
1286,267
1287,268
1288,268
1289,267
1290,267
1291,267
1292,267
1293,267
1294,267
1295,267
1296,267
1297,267
1298,268
1299,267
1300,267
1301,267
1302,267
1303,268
1304,267
1305,267
1306,267
